ID,StoreName,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Source
SCB,Second Chic,"810 Elmwood Ave, Buffalo, NY 14222",,,,,,,,
HTSHFT,Hearts Thrift Store - Hearts for the Homeless Thrift Store (Tonawanda),"2217 Sheridan Dr, Buffalo, NY 14223",,,,,,,,
ATSWS,AMVETS Thrift Store West Seneca,"1900 Ridge Rd, West Seneca, NY 14224",,,,,,,,
NEAM,Niagara Emporium Antique Mall,"2016 Military Rd, Niagara Falls, NY 14304",,,,,,,,
TTP,The Trading Post,"110 W Main St, Avon, NY 14414",,,,,,,,
UVM,Upstate Vintage Market,"8100 W Ridge Rd, Brockport, NY 14420",,,,,,,,
FLTT,Finger Lakes Treasure Trove,"222 S Main St, Canandaigua, NY 14424",,,,,,,,
HFHR,Habitat For Humanity Restore,"3040 Co Rd 10, Canandaigua, NY 14424",,,,,,,,
NDS,Not Dot Shop,"127 Main St, Geneseo, NY 14454",,,,,,,,
PLAM,Penny Lane Antique Mall,"319 Waterloo Geneva Rd, Geneva, NY 14456",,,,,,,,
2TAC,2nd Time Around Consignment,"123 US-20A, Leicester, NY 14481",,,,,,,,
AFAC,Aprils Finds Antiques & Collectibles,"7895 E Main Rd, Le Roy, NY 14482",,,,,,,,
CAOL,Crossroads Antiques of Lima,"7348 E Main St, Lima, NY 14485",,,,,,,,
LWECO,L W Emporium Co-op,"6355 Knickerbocker Rd, Ontario, NY 14519",,,,,,,,
LH,Liberty Hollow,"4975 W Ridge Rd, Spencerport, NY 14559",,,,,,,,
SAVERSR,Savers,"980 Ridge Rd, Webster, NY 14580",,,,,,,,
SV,Staple Vintage,"664 University Ave, Rochester, NY 14607",,,,,,,,
CFM,Charlotte Flea Market,"4421 Lake Ave, Rochester, NY 14612",,,,,,,,
SAT,South Avenue Treasures,"1992 South Ave, Rochester, NY 14620",,,,,,,,
EA,Eastridge Antiques,"1850 East Ridge Road, Rochester, NY 14622",,,,,,,,
HMA,Henrietta Mall Antiques,"945 Jefferson Rd, Rochester, NY 14623",,,,,,,,
TSOWR,The Shops On West Ridge,"3200 W Ridge Rd, Rochester, NY 14626",,,,,,,,
SLTS,St Luke's Thrift Shop,"409 Pine St, Jamestown, NY 14701",,,,,,,,
RT,Ron's Treasures,"88 N Main St, Cassadaga, NY 14718",,,,,,,,
TJD,The Junkyard's Daughter,"325 Broad St, Waverly, NY 14892",,,,,,,,
TA,Trolley Antiques,"440 Baldwin St, Meadville, PA 16335",,,,,,,,
WSAM,Whistle Stop Antique Mall,"50 N Center St, Corry, PA 16407",,,,,,,,
MSA2,Main Street Antiques,"7447 W Ridge Rd, Fairview, PA 16415",,,,,,,,
FNJ,Funk N Junk,"65 Main St W, Girard, PA 16417",,,,,,,,
FKTS,Finders Keepers Thrift Shop,"325 W Erie St, Linesville, PA 16424",,,,,,,,
IAM,Interstate Antique Mall,"5446 PA-89, North East, PA 16428",,,,,,,,
TTAT,Treva's Trinkets and Treasures,"77 S Pearl St, North East, PA 16428",,,,,,,,
FKOE,Finders Keepers Of Erie,"1250 Brown Ave, Erie, PA 16502",,,,,,,,
CSTAT,Cobb's Second Time Around Thrift Shop,"1215 Parade St, Erie, PA 16503",,,,,,,,
GSTS,Green Scene Thrift Store,"1301 E Grandview Blvd, Erie, PA 16504",,,,,,,,
CMT,City Mission Thrift,"2064 W 16th St, Erie, PA 16505",,,,,,,,
OA,Oregon Antiques,"3436 W Lake Rd, Erie, PA 16505",,,,,,,,
TSP,The Sassy Peacock,"845 Pittsburgh Ave, Erie, PA 16505",,,,,,,,
PIMAA,"Presque Isle Militaria, Antiques and Collectibles","811 W 26th St, Erie, PA 16508",,,,,,,,
SS2,Secondhand shop,"1508 W 32nd St, Erie, PA 16508",,,,,,,,
MTS,Mel & Tee's Secondhand & Estate Sales,"4915 Hillsdale Ave, Erie, PA 16509",,,,,,,,
RCTS,Rainbow Connection Thrift Store,"1516 Buffalo Rd, Erie, PA 16510",,,,,,,,
V,Vintillage,"1019 N Main St, Bowling Green, OH 43402",,,,,,,,
AIC,Antiques In Clyde,"109 W Buckeye St, Clyde, OH 43410",,,,,,,,
AVM,Armory vintage Market,"1005 E State St, Fremont, OH 43420",,,,,,,,
BUKB,Bearly Used Kids Boutique,"236 N Front St, Fremont, OH 43420",,,,,,,,
MTA,M & T Antiques,"427 W State St, Fremont, OH 43420",,,,,,,,
NTYC,New-To-You Consignments,"2306 W State St, Fremont, OH 43420",,,,,,,,
PAPE,Past and present emporium,"611 W State St, Fremont, OH 43420",,,,,,,,
CWUTS,Church Women United Thrift Shop,"631 S Crissey Rd, Holland, OH 43528",,,,,,,,
MAM,Maumee Antique Mall,"1552 S Reynolds Rd, Maumee, OH 43537",,,,,,,,
AAI,Architectural Artifacts Inc.,"20 S Ontario St, Toledo, OH 43604",,,,,,,,
HOD,House of Dow,"1501 Adams St, Toledo, OH 43604",,,,,,,,
TVAT,The Vault Antiques & Treasures,"1583 W Sylvania Ave, Toledo, OH 43612",,,,,,,,
TSL,That Store LLC,"3237 W Sylvania Ave, Toledo, OH 43613",,,,,,,,
GFIM,Great Finds in Maumee,"1855 S Reynolds Rd, Toledo, OH 43614",,,,,,,,
NLRS,Nine LIves Resale Shop,"4317 Heatherdowns Blvd, Toledo, OH 43614",,,,,,,,
TCKA,The Copper Kettle Antiques,"1544 S Byrne Rd, Toledo, OH 43614",,,,,,,,
CIHI,Consign It! Home Interiors,"6925 Central Ave, Toledo, OH 43617",,,,,,,,
GCHFH,Greater Cleveland Habitat for Humanity - Amherst ReStore,"300 Rice Industrial Pkwy, Amherst, OH 44001",,,,,,,,
ORBA,Olde Red Barn Antiques & Collectibles,"186 W Main St, Andover, OH 44003",,,,,,,,
AAM,Ashtabula Antique Mall,"4876 N Ridge Rd W, Ashtabula, OH 44004",,,,,,,,
CFAN,Classic Finds and Nautical,"Bridge St, Ashtabula, OH 44004",,,,,,,,
FSW,Fat Sally's Warehouse,"1569 Laird Dr, Ashtabula, OH 44004",,,,,,,,
TCS,The Curiosity Shoppe,"3315 N Ridge Rd E, Ashtabula, OH 44004",,,,,,,,
JHA,Jameson Homestead Antiques,"36675 Detroit Rd, Avon, OH 44011",,,,,,,,
CTSAB,Columbia Thrift Store and boutique,"23005 Sprague Rd, Columbia Station, OH 44028",,,,,,,,
CTS,Conneaut Thrift Shop,"255 Main St, Conneaut, OH 44030",,,,,,,,
BB,Broadway Boutique,"390 Broad St, Elyria, OH 44035",,,,,,,,
NTYRS,New To You Resale Shop,"625 Broad St, Elyria, OH 44035",,,,,,,,
RE,Roxy's Emporium,"Shops On Broad, 374 Broad St, Elyria, OH 44035",,,,,,,,
TBH,The Bargain House,"450 Cleveland St, Elyria, OH 44035",,,,,,,,
BA,Broadway Antiques,"71 N Broadway, Geneva, OH 44041",,,,,,,,
CCC,Classic Country Consignments,"4426 N Ridge Rd E, Geneva, OH 44041",,,,,,,,
GT,Geneva Thrift,"660 E Main St, Geneva, OH 44041",,,,,,,,
TGD,The Green Door,"OH-84, Geneva, OH 44041",,,,,,,,
TRVM,The Refindary Vintage Market,"39 S Chestnut St, Jefferson, OH 44047",,,,,,,,
BBAAC,Be Back Antiques and Collectibles,"1342 N Leavitt Rd, Lorain, OH 44052",,,,,,,,
SAF,Simply Affordable Finds,"26649 Brookpark Ext, North Olmsted, OH 44070",,,,,,,,
VWT-Olmstead,Value World Thrift,"24869 Lorain Rd, North Olmsted, OH 44070",,,,,,,,
MSA,Main Street Antiques,"335 S Main St, Oberlin, OH 44074",,,,,,,,
RS,Ratsy's Store,"27 S Main St, Oberlin, OH 44074",,,,,,,,
MB,Miscellaneous Barn,"190 Mantle Rd, Painesville, OH 44077",,,,,,,,
SBTL,Shops By The Lake,"1871 N Ridge Rd, Painesville, OH 44077",,,,,,,,
PBB,Perry Bargain Barn,"4650 N Ridge Rd, Perry, OH 44081",,,,,,,,
TATL,Treasures at the Langshaw,"4179 Main St, Perry, OH 44081",,,,,,,,
AU,Antiques & Uniques,"30200 Euclid Ave, Wickliffe, OH 44092",,,,,,,,
MCVC,My Cuzin Vintage Cleveland,"6507 Detroit Ave, Cleveland, OH 44102",,,,,,,,
SL,Sweet Lorain,"7105 Lorain Ave, Cleveland, OH 44102",,,,,,,,
NTVS,Nifty Thrifty Variety Shop,"7100 Broadway Ave Suite 200, Cleveland, OH 44105",,,,,,,,
CC,Cleveland Curiosities,"13375, 13373 Madison Ave, Lakewood, OH 44107",,,,,,,,
FNFVC,Future No Future Vintage Clothing,"16008 Detroit Ave, Lakewood, OH 44107",,,,,,,,
MF,Magically Found,"13349 Madison Ave, Lakewood, OH 44107",,,,,,,,
MC,Margie’s Closet,"1384 W 117th St, Lakewood, OH 44107",,,,,,,,
VWT-Lakewood,Value World Thrift,"11900 Detroit Ave, Lakewood, OH 44107",,,,,,,,
ATFY,All Things For You,"3136 W 14th St, Cleveland, OH 44109",,,,,,,,
PG,Paradise Galleria,"3910 Lorain Ave, Cleveland, OH 44113",,,,,,,,
PGCCA,PEARLS Girls' Community Closet at Malachi Center,"2416 Superior Viaduct, Cleveland, OH 44113",,,,,,,,
SS,Spooky's Studio,"2138 W 25th St, Cleveland, OH 44113",,,,,,,,
VNTG,VNTG Home,"1235 Marquette St, Cleveland, OH 44114",,,,,,,,
TSYRS,The Salvage Yard Resale Shoppe,"22935 Lorain Rd, Fairview Park, OH 44126",,,,,,,,
RUST,Rusticisle,"27146 Cook Rd, Olmsted Township, OH 44138",,,,,,,,
STA,Second Thyme Around,"8153 Orchard St, Olmsted Falls, OH 44138",,,,,,,,
ASVC,A Signature Vintage Clothing,"2208 Front St, Cuyahoga Falls, OH 44221",,,,,,,,
AVAT,Amelia's Vintage and Thrift,"9058 OH-14, Streetsboro, OH 44241",,,,,,,,
BSS,Big Ship Salvage,"11001 US Hwy 250 N unit d-1, Milan, OH 44846",,,,,,,,
OSW,Old School Warehouse,"21 N Hamilton St, Monroeville, OH 44847",,,,,,,,
WPF,When Pigs Fly,"31 E Main St, Norwalk, OH 44857",,,,,,,,
SGBL,Something Good & Beyond LLC,"1607 W Monroe St, Sandusky, OH 44870",,,,,,,,
TES,The Encore Shop,"2215 Cleveland Rd W, Sandusky, OH 44870",,,,,,,,
OAAC,Oscar's Antiques and Consignments,"591 N Sandusky St, Tiffin, OH 44883",,,,,,,,
RI1,Reclaim It 127,"127 S Washington St, Tiffin, OH 44883",,,,,,,,
CAE,Clawson Antiques Etc,"118 S Main St, Clawson, MI 48017",,,,,,,,
SAL,Sinclair Antiques Llc,"550 S Rochester Rd, Clawson, MI 48017",,,,,,,,
VWT-Eastpointe,Value World Thrift,"24900 Kelly Rd, Eastpointe, MI 48021",,,,,,,,
VWT-Southfield,Value World Thrift,"25646 Eight Mile W, Southfield, MI 48033",,,,,,,,
RWBT,Red White & Blue Thrift Store,"37545 Southbound Gratiot Ave, Clinton Township, MI 48036",,,,,,,,
CATTF,Charlie and the Treasure Factory,"40716 Hayes Rd, Clinton Township, MI 48038",,,,,,,,
MA,Mimi's Attic,"221 Northbound Gratiot Ave, Mt Clemens, MI 48043",,,,,,,,
VGR,Vintage Garden Resale,"1268 Southbound Gratiot Ave, Mt Clemens, MI 48043",,,,,,,,
LC,Leah's Closet,"722 W Eleven Mile Rd, Royal Oak, MI 48067",,,,,,,,
LAFV,Lost and Found Vintage,"510 S Washington Ave, Royal Oak, MI 48067",,,,,,,,
TSAFSRO,The Salvation Army Family Store & Donation Center,"114 E 4th St, Royal Oak, MI 48067",,,,,,,,
SVDPT,St. Vincent de Paul Thrift Store,"28720 N Stephenson Hwy, Madison Heights, MI 48071",,,,,,,,
CR,Council Resale,"3297 12 Mile Rd, Berkley, MI 48072",,,,,,,,
OFA,Odd Fellows Antiques,"3248 12 Mile Rd, Berkley, MI 48072",,,,,,,,
EHUR,Everything Home Upscale Resale,"29862 Woodward Ave, Royal Oak, MI 48073",,,,,,,,
EUR,Encore Upscale Resale,"29080 Southfield Rd, Southfield, MI 48076",,,,,,,,
TWL,Time Warp LLC,"31336 Harper Ave, St Clair Shores, MI 48082",,,,,,,,
FUFA,Fred's Unique Furniture & Antiques,"14091 8 Mile Rd, Warren, MI 48089",,,,,,,,
VWT-Warren,Value World Thrift,"2001 E 11 Mile Rd, Warren, MI 48092",,,,,,,,
KTS,Kiwanis Thrift Sale,"100 N Staebler Rd Suite C, Ann Arbor, MI 48103",,,,,,,,
TS,The ShareHouse,"5161 Jackson Rd, Ann Arbor, MI 48103",,,,,,,,
AAPTS,Ann Arbor PTO Thrift Shop,"2280 S Industrial Hwy, Ann Arbor, MI 48104",,,,,,,,
AATS,Ann Arbor Thrift Shop,"3500 Washtenaw Ave K, Ann Arbor, MI 48104",,,,,,,,
RAGS,Ragstock,"337 E Liberty St, Ann Arbor, MI 48104",,,,,,,,
SAFA,Such A Find Antiques & Estate Liquidations,"1247 Rosewood St, Ann Arbor, MI 48104",,,,,,,,
TGV,The Getup Vintage,"210 S 4th Ave, Ann Arbor, MI 48104",,,,,,,,
TSAFS,The Salvation Army Family Store & Donation Center,"1621 S State St, Ann Arbor, MI 48104",,,,,,,,
SCR,SCRAP Creative Reuse,"4567 Washtenaw Ave, Ann Arbor, MI 48108",,,,,,,,
CAM,Chelsea Antique Mall,"1178 S Main St, Chelsea, MI 48118",,,,,,,,
VA,Village Antiques,"22630 Michigan Ave, Dearborn, MI 48124",,,,,,,,
VMDV,V-Male Detroit Vintage,"23902 Van Born Rd, Dearborn Heights, MI 48125",,,,,,,,
RIAVA,"Retro Image Antiques, Vintage and Props","14246 Michigan Ave, Dearborn, MI 48126",,,,,,,,
MCAG,Motor City Antique Gallery,"13431 Telegraph Rd, Flat Rock, MI 48134",,,,,,,,
CCA,Craftique Craft & antique,"5846 Middlebelt Rd, Garden City, MI 48135",,,,,,,,
FFL,Fortunate Finds LLC,"8023 Summerfield Rd, Lambertville, MI 48144",,,,,,,,
PACM,Plaza Antiques & Collectables Mall,"2621 Dix Hwy, Lincoln Park, MI 48146",,,,,,,,
GSADL,Goodwill Store and Donations: Livonia,"12651 Middlebelt Rd, Livonia, MI 48150",,,,,,,,
TPCAA,Town Peddler Craft and Antique Mall,"35323 Plymouth Rd, Livonia, MI 48150",,,,,,,,
VVACV,Vintage Vibes Antiques Collectibles Vinyl,"16320 Middlebelt Rd, Livonia, MI 48154",,,,,,,,
N2Y,New 2 You,"1021 Novi Rd, Northville, MI 48167",,,,,,,,
TBIN,The Barn in Northville,"48120 Eight Mile W, Northville, MI 48167",,,,,,,,
FKVV,Finders Keepers Vintage & Vinyl,"900 N Mill St, Plymouth, MI 48170",,,,,,,,
PTS,Presbyterian Thrift Shop,"331 N Main St, Plymouth, MI 48170",,,,,,,,
GIOSM,Goodwill Industries of Southeastern Michigan - Saline Store,"423 E Michigan Ave, Saline, MI 48176",,,,,,,,
NARS,Nu2U Again Resale Shop,"1311 E Michigan Ave, Saline, MI 48176",,,,,,,,
VWT-Taylor,Value World Thrift,"22615 Ecorse Rd, Taylor, MI 48180",,,,,,,,
VWT-Westland,Value World Thrift,"35300 Central City Pkwy, Westland, MI 48185",,,,,,,,
GSADC,Goodwill Store and Donations: Canton,"41937 Ford Rd, Canton Township, MI 48187",,,,,,,,
TSAFSCT,The Salvation Army Family Store & Donation Center,"43403 Joy Rd, Canton Township, MI 48187",,,,,,,,
FF,Fabuless Finds,"16160 King Rd, Riverview, MI 48193",,,,,,,,
VWT-Southgate,Value World Thrift,"12125 Dix Toledo Rd, Southgate, MI 48195",,,,,,,,
A,a2vintage,"130 W Michigan Ave, Ypsilanti, MI 48197",,,,,,,,
FASV,Find and Shine Vintage,"6 N Huron St, Ypsilanti, MI 48197",,,,,,,,
GSADY,Goodwill Store and Donations: Ypsilanti,"3782 Carpenter Rd, Ypsilanti, MI 48197",,,,,,,,
SCA,Salt City Antiques,"115 W Michigan Ave, Ypsilanti, MI 48197",,,,,,,,
AAV,Apple Annie’s Vintage,"29 E Cross St, Ypsilanti, MI 48198",,,,,,,,
JMA,Jim MacDonald's Antiques,"29 E Cross St, Ypsilanti, MI 48198",,,,,,,,
LHAAR,Lucky Haskins Antiques and Retro,"27 E Cross St, Ypsilanti, MI 48198",,,,,,,,
TTD,The Thrift Depot,"19 E Cross St, Ypsilanti, MI 48198",,,,,,,,
VWT9,Value World Thrift,"1410 E Michigan Ave, Ypsilanti, MI 48198",,,,,,,,
VEML,"Vintage Eastern Market, LLC","1515 Division St Suite B, Detroit, MI 48207",,,,,,,,
GOGD,Goodwill of Greater Detroit,"3111 Grand River Ave, Detroit, MI 48208",,,,,,,,
FV,Flamingo Vintage,"5449 Vernor W, Detroit, MI 48209",,,,,,,,
ASWOD,Architectural Salvage Warehouse of Detroit,"5110 Bellevue St, Detroit, MI 48211",,,,,,,,
JT,Joy Thrift,"10334 Joseph Campau Ave, Hamtramck, MI 48212",,,,,,,,
RR,Retro Rescuers,"477 W Marshall St, Ferndale, MI 48220",,,,,,,,
VogueVint,Vogue Vintage,"2141 Hilton Rd, Ferndale, MI 48220",,,,,,,,
SG,Salvage Garden,"3135 W McNichols Rd, Detroit, MI 48221",,,,,,,,
GCOHT,Grace Centers of Hope Thrift Store & Donation Center- Oak Park,"FR68+8P, 23105 Coolidge Hwy, Oak Park, MI 48237",,,,,,,,
VWT-OakPark,Value World Thrift,"22130 Coolidge Hwy, Oak Park, MI 48237",,,,,,,,
DC,Detroit Closet,"10236 Fenkell Ave, Detroit, MI 48238",,,,,,,,
OLSAA,Our Little Shoppe Antiques and Vintage,"5453 Auburn Rd, Shelby Township, MI 48317",,,,,,,,
TSAFSWB,The Salvation Army Family Store & Donation Center,"3232 Orchard Lake Rd, West Bloomfield Township, MI 48324",,,,,,,,
TSAFSAH,The Salvation Army Family Store & Donation Center,"605 S Opdyke Rd, Auburn Hills, MI 48326",,,,,,,,
FTRS,Freedom Treasures Resale Store,"7570 Cooley Lake Rd, Waterford Township, MI 48327",,,,,,,,
ODTS,Open Door Thrift Store,"7140 Cooley Lake Rd, Waterford Township, MI 48327",,,,,,,,
DFM,Dixieland Flea Market,"2045 Dixie Hwy, Waterford Township, MI 48328",,,,,,,,
SOMM,Seeds Of Mercy Mission,"32232 W 8 Mile Rd, Farmington Hills, MI 48336",,,,,,,,
WBIS,We Buy It & Sell It All,"30930 Grand River Ave, Farmington, MI 48336",,,,,,,,
PVAAM,"Paradise Vintage, Antiques and More","2241B W Vienna Rd, Clio, MI 48420",,,,,,,,
YT,Yesterday's Treasures,"300 S Leroy St, Fenton, MI 48430",,,,,,,,
TVFH,The Vintage Farm House,"310 S Broad St, Holly, MI 48442",,,,,,,,
TMM,The Mega Mall,"15487 Old U.S. 27, Lansing, MI 48906",,,,,,,,
LMLDV,Like Mother Like Daughter Vintage Treasures,"1133 S Washington Ave, Lansing, MI 48910",,,,,,,,
T,Thriftique,"1137 S Washington Ave, Lansing, MI 48910",,,,,,,,
BAM,Blissfield Antiques Mall,"103 W Adrian St, Blissfield, MI 49228",,,,,,,,
1VM,12 Vintage Market,"2751 W Michigan Ave, Clinton, MI 49236",,,,,,,,
